t,seed,N_u,N_v,M_u,M_v,M_v_exact,abs_Mu_drift,G_v,max_v_occupancy,d_min,overlap,m_center,E_sym,drift_resolution_number,R05_c0,R09_c0,c0_x,c0_y,c0_z,A_c0_x,A_c0_y,A_c0_z,A_c0,R05_c1,R09_c1,c1_x,c1_y,c1_z,A_c1_x,A_c1_y,A_c1_z,A_c1,R05_c2,R09_c2,c2_x,c2_y,c2_z,A_c2_x,A_c2_y,A_c2_z,A_c2,R05_c3,R09_c3,c3_x,c3_y,c3_z,A_c3_x,A_c3_y,A_c3_z,A_c3,d01,d02,d03,d12,d13,d23
0.0,1,80000,0,240.0,0.0,0.0,0.0,0.0,0,2.822930120693255,3.6700328394711175,0.23700000000000002,0.0006539097518946632,0.0,0.381993665628358,0.6219775959834649,0.9990756450191967,0.9979495373139278,0.9964752671581731,0.991506825660368,0.9915900856239172,0.9915408634729557,0.991506825660368,0.3843666464763925,0.6269091675122977,0.9998509676287339,-0.9990610255503096,-0.9987396779043252,0.9915788028227058,0.9913746909424476,0.9914023013567036,0.9913746909424476,0.3826844344897762,0.6248042174134181,-1.0012634700978582,0.9990645616349738,-0.998226216433233,0.9915322386775589,0.9914618883795558,0.9914671314227897,0.9914618883795558,0.38604245709748464,0.6243228294051435,-1.002035307151135,-1.0002363129881884,0.9979555320989704,0.9914146664901036,0.9914983008061975,0.9914476784492163,0.9914146664901036,2.822930120693255,2.8249233312407385,2.827931032827346,2.8278905775657286,2.8274267099436345,2.8252338232745378
0.04,1,80000,3151,240.0,9.453,9.410534603442438,0.0,4.4084691150145305,3151,2.8246292720020443,2.9184841924432927,2.223,0.0006728534812351121,0.014840845647479175,0.4662616164291221,0.8768396725850376,1.0016726832565226,1.001187064085176,1.0000996676397218,0.9848055714968453,0.9852675822847904,0.9850672885554186,0.9848055714968453,0.47175078409007165,0.8876626978347134,1.0049163898263291,-0.9952772989424119,-0.9995320357056068,0.984909678405147,0.9846170133944058,0.9846283937308387,0.9846170133944058,0.4809848939530251,0.8972265292539605,-0.9969214412819687,0.9999088575345096,-0.9988794819222271,0.9841900786263227,0.9845259080621068,0.9843427200272938,0.9841900786263227,0.4868563159859346,0.9045534716319524,-1.0001215172040574,-0.9987929244171481,0.9970442316971484,0.9839004017304817,0.9843163319498107,0.9839967650235064,0.9839004017304817,2.82566937618243,2.8267114725127462,2.829683606182177,2.826326755150572,2.8295770284279573,2.8246292720020443
0.08,1,80000,6076,240.0,18.228,18.452076867207417,0.0,5.263207530964557,6076,2.820464048334829,2.860235250527097,3.744,0.001429702386355406,0.017804884944085986,0.4501617614468791,1.0505505209679402,1.0004549520700783,1.0045805044521066,0.9978532241957554,0.9812026736706558,0.9816253620239952,0.9816767687897343,0.9812026736706558,0.4806951293061491,1.059779681501109,1.0092259818638807,-0.9987830534078768,-1.0026391398512366,0.9805761349593769,0.980540753532523,0.980415792638216,0.980415792638216,0.4820505134596765,1.0645442149314994,-0.9908448182673295,0.9962942140869897,-0.9995636101168683,0.9802452188767843,0.9800259103888351,0.9804357213040373,0.9800259103888351,0.507070203849767,1.0684182444607295,-0.9917572467229538,-1.0028214914134308,1.0022964991470538,0.979558985950036,0.9800062789003379,0.9793795722705747,0.9793795722705747,2.831167987692602,2.820464048334829,2.8281782052616493,2.825000171273522,2.8326166536601454,2.829117942675118
0.12,1,80000,8971,240.0,26.913,27.139095187882205,0.0,6.77953883294203,8971,2.8176635633380034,2.9166730488470174,4.413,0.0018735744809920928,0.02509441156511638,0.4153529933844991,1.1716652585832756,1.00330591934953,1.0112791511214194,0.9976183178637363,0.9791420683152183,0.9790713619095243,0.9789530061596978,0.9789530061596978,0.44091042422419857,1.1869079727768352,1.0139540414366932,-1.0004659392017992,-0.9974550130102573,0.977904646866812,0.9779497297935116,0.9773766125529841,0.9773766125529841,0.4806817737577155,1.1982197420405012,-0.9877682927353684,0.9979012886412395,-0.9960397448261968,0.9768401922885948,0.9761266612685736,0.9772561632733445,0.9761266612685736,0.4887363938406242,1.2081168088179346,-0.9897406893983884,-0.9993686777825204,1.0053418856420349,0.9761433792056212,0.976646569235524,0.9757475784917244,0.9757475784917244,2.833293011057665,2.8176635633380034,2.8310773797296553,2.8284918036692894,2.833017683603499,2.8274758424967383
0.16,1,80000,11730,240.0,35.19,35.48549064810928,0.0,7.85575667266511,11730,2.8117032927039025,3.223369622166367,4.743,0.0030605601682893624,0.03190109530343523,0.32976570741220884,1.270089253900819,1.002814450456138,1.023593721478072,0.9934797011444738,0.9776761877661402,0.9775037067264881,0.9779779003937266,0.9775037067264881,0.4004246417515622,1.297233539450425,1.0146664716215694,-0.9995760497193631,-0.9947634673203458,0.975644376668773,0.9758832755762048,0.9747204139855599,0.9747204139855599,0.4276676434031067,1.3042327841741237,-0.9893138844034137,0.9935767182336148,-1.000424863153821,0.9745371126601047,0.9739734568717956,0.9750228660079008,0.9739734568717956,0.4446193178465339,1.3084409569130502,-0.9889397296394096,-0.9920064451306585,0.9903374952341677,0.9736843723742066,0.974246539037179,0.973751040718166,0.9736843723742066,2.8366295652481326,2.8187110058613034,2.833679343013111,2.826415977016726,2.8204823949423856,2.8117032927039025
0.2,1,80000,14394,240.0,43.182,43.50461926128436,0.0,9.310016795304966,14394,2.8067339261370976,3.5966265131347406,4.806,0.004446972314489352,0.036129288212798,0.2841964271815268,1.3490990030368972,0.9938451563970396,1.019834067842278,0.9948836105345151,0.9763188777075079,0.9764418929621099,0.9765843781686782,0.9763188777075079,0.3552437519834807,1.3864816724694473,1.0276450653300717,-1.0022183752048068,-0.9881939852501853,0.974141636013739,0.9741310671158109,0.9729165957239274,0.9729165957239274,0.3966654177765008,1.3952827227037992,-0.9982997610537909,0.9938492735546012,-1.0001996210662005,0.9725320554464667,0.9720188011321677,0.972153077997813,0.9720188011321677,0.3837141729002109,1.4163917353859203,-0.9793841918284638,-0.9833428954861336,0.9918115887551302,0.9709131212052505,0.9721732051879454,0.9713797742283632,0.9709131212052505,2.832390380434835,2.819516568965982,2.8118252869667937,2.844096101271334,2.8193873086039587,2.8067339261370976
0.24,1,80000,16997,240.0,50.991,51.209313344027194,0.0,10.44103843373287,16997,2.7983910922563697,4.061157334245874,4.488,0.004429659266669412,0.04219953422163049,0.2529384801372526,1.4265085779549473,1.0051786369104772,1.0124701818864406,0.9817963209116236,0.9751905994631576,0.9755349698700599,0.9754092471557673,0.9751905994631576,0.30805635528433806,1.4623461506308464,1.0263032095063824,-1.0046983969007233,-0.9846786740249893,0.9722915375846661,0.9726440912308798,0.9714430181145273,0.9714430181145273,0.36528974665025704,1.4784621482646123,-0.9945201733241813,0.9906815549561765,-0.99191193614379,0.9704578483219524,0.9698472644729478,0.9703313547892154,0.9698472644729478,0.32377272050875283,1.4961245023046144,-0.9778494815162038,-0.9824011330470253,0.9924417368582032,0.9692705381297142,0.970599954766417,0.9697471226054593,0.9692705381297142,2.817168654611317,2.80976767009056,2.8128322748603254,2.839950812417019,2.8153383981396196,2.7983910922563697
0.28,1,80000,19504,240.0,58.512,58.611902050625886,0.0,11.089389020064761,19504,2.791052039482919,4.617594349663642,4.191,0.004073275397271868,0.04364194311583378,0.2230220602088691,1.4804113324775567,1.0146754681767396,1.0106948434926881,0.9625245557159365,0.9740675182904772,0.9745989763128325,0.974611964505977,0.9740675182904772,0.26913771937426867,1.542336311671424,1.0144974046744206,-1.0031849857524753,-0.991023679101759,0.9707961382707985,0.9710712229169673,0.9700467786664784,0.9700467786664784,0.3206127831772348,1.5600522757323692,-1.0028478190043169,0.980865054510696,-0.9901968967145915,0.9686485174019145,0.9684907973769209,0.9682648195810811,0.9682648195810811,0.28382576818365435,1.5797918832101272,-0.9747447344547631,-0.9757534961489327,0.999985394171139,0.9675215603747919,0.9691872884803724,0.9683150253964309,0.9675215603747919,2.805719641038012,2.8079193545062786,2.8116139605431414,2.8295117948750144,2.814596579363395,2.791052039482919
0.32,1,80000,21856,240.0,65.568,65.72423110231418,0.0,12.318386707687973,21856,2.7811941506190285,4.889171650441426,3.93,0.00561418942188517,0.05026414550909361,0.2115769679833202,1.534222114476639,1.029310849741817,1.0204653200064886,0.9630703485955072,0.97303545822369,0.973492439128479,0.9736074889776194,0.97303545822369,0.24384711926466784,1.6121785229590495,1.003049198834221,-1.0088974016100298,-0.9912911422280635,0.969311096861363,0.9697031886308181,0.9688410206715805,0.9688410206715805,0.2934889225968831,1.6168048028674562,-0.9977899072655116,0.9810115179471133,-1.0021015972209177,0.9672549993041077,0.9668043391641317,0.966624838084101,0.966624838084101,0.2753587983392236,1.6553618728155406,-0.9689783345358673,-0.9623341311503992,0.987274808803873,0.9658741997362894,0.967665176619281,0.9667635396964589,0.9658741997362894,2.8175399849885583,2.823578378260561,2.8151801333845774,2.821916281991407,2.793883310574821,2.7811941506190285
0.36,1,80000,24208,240.0,72.624,72.55768174295255,0.0,12.826216094795134,24208,2.7779070023207497,5.395708997244783,3.54,0.005918735536861269,0.05473196100786962,0.19415805621858778,1.5932661185131476,1.0321483904124786,1.019446208814938,0.9539987034833137,0.9718760594371104,0.9726607939432089,0.9726419860274711,0.9718760594371104,0.2320954994641382,1.676493992828093,1.001752376390268,-1.005697075229949,-0.980197340581551,0.9678685115633198,0.9681951402724729,0.9676452297771043,0.9676452297771043,0.2643701785294187,1.6957968525695684,-0.9901250363062308,0.9908279166747578,-1.0109174921087458,0.9657916385936012,0.9652494778663259,0.9653354659200011,0.9652494778663259,0.2513804148884886,1.7191804155654453,-0.9664237290875093,-0.9538890114146534,0.9794878524769395,0.9646282911646835,0.9662284966709745,0.9652405433329134,0.9646282911646835,2.800579150007498,2.8198057512455748,2.8087349652392737,2.820395610232799,2.7779070023207497,2.782840117239338
